,employee_id,age,gender,marital_status,avg_monthly_hrs,department,filed_complaint,last_evaluation,n_projects,recently_promoted,salary,satisfaction,status,tenure
63,126572,47,Female,Married,276,D00-FN,0,0.850814,7,0,low,0.0662955,1,4
64,101109,44,Female,Married,134,D00-ENG,0,0.847132,5,0,low,0.663566,0,4
65,113239,27,Male,Unmarried,256,D00-ENG,0,0.743221,3,0,medium,0.793582,0,4
66,108314,24,Female,Unmarried,283,D00-ENG,0,0.640519,3,0,low,0.445968,0,5
67,112702,34,Male,Married,157,D00-FN,0,0.716197,4,0,low,0.636262,0,4
68,112008,36,Female,Married,219,D00-SS,1,0.517559,4,0,medium,0.598769,0,4
69,104311,25,Male,Unmarried,195,D00-SS,0,0.679584,3,0,low,0.649316,0,2
70,107675,38,Male,Married,268,D00-ENG,0,0.714623,4,0,low,0.642979,0,3
71,106419,44,Male,Married,266,D00-SS,1,0.616688,4,0,medium,0.554123,0,3
72,122644,29,Female,Married,264,D00-ENG,0,0.936961,6,0,medium,0.115703,1,4
73,129463,24,Female,Unmarried,258,D00-ENG,0,0.935781,4,0,medium,0.964426,1,5
74,119781,26,Male,Unmarried,177,D00-SS,0,0.841417,3,0,medium,0.876155,0,2
75,117646,34,Male,Married,273,D00-SP,1,0.87891,6,0,low,0.0847984,1,4
76,106142,29,Male,Unmarried,201,D00-SS,0,0.606555,4,0,low,0.608561,0,3
77,112263,33,Male,Married,232,D00-ENG,0,0.829786,6,0,low,0.91896,0,6
78,111268,25,Female,Unmarried,155,D00-SP,0,0.537898,2,0,low,0.345641,1,3
79,102172,25,Female,Unmarried,183,D00-ENG,0,0.777449,3,0,low,1,0,2
80,115399,45,Male,Married,237,D00-SS,0,0.515568,4,0,low,0.969877,0,3
81,111760,25,Male,Unmarried,134,D00-MN,0,0.721628,2,0,high,0.626302,0,10
82,103698,38,Male,Married,212,D00-SS,0,0.479365,4,0,medium,0.78591,0,2
83,128624,25,Female,Unmarried,155,D00-SS,0,0.440299,2,0,low,0.415771,1,3
84,102266,39,Male,Married,242,D00-FN,0,0.781111,6,0,low,0.669866,1,5
85,106640,24,Male,Unmarried,207,D00-ENG,0,0.971518,3,0,low,0.620397,0,10
86,108402,37,Male,Married,261,D00-ENG,1,1,5,0,medium,0.893372,1,5
87,113430,28,Male,Unmarried,270,D00-MT,1,0.767967,3,0,low,0.812302,0,2
88,112069,23,Female,Unmarried,142,D00-SS,0,0.974864,4,0,low,0.746899,0,3
89,105021,38,Female,Married,263,D00-IT,1,0.68589,5,0,medium,0.659411,0,2
90,106612,37,Male,Married,258,D00-ENG,0,0.767079,4,0,medium,0.944188,0,3
91,131426,29,Male,Married,211,D00-ENG,0,0.51859,3,0,medium,0.603239,0,3
92,103271,33,Male,Married,269,D00-IT,0,0.930676,6,0,low,0.0945477,1,4
93,113867,23,Female,Unmarried,202,D00-SS,0,0.7244835,3,0,medium,0.425503,1,3
94,112203,45,Male,Married,206,D00-SS,0,1,6,0,medium,0.783548,1,5
95,105490,26,Male,Unmarried,184,D00-MT,1,0.7244835,3,0,medium,0.839356,0,3
96,109033,53,Male,Married,168,D00-SP,0,0.88223,5,0,low,0.929701,0,2
97,107620,30,Male,Married,229,D00-MT,0,0.783213,5,0,medium,0.741678,0,2
98,118210,27,Male,Unmarried,146,D00-SS,0,0.580721,2,0,low,0.435423,1,3
99,122572,25,Female,Unmarried,132,D00-SS,0,0.477055,2,0,medium,0.495775,1,3
100,120715,22,Female,Unmarried,253,D00-PD,0,0.890877,5,0,low,0.686479,1,5
101,107957,53,Male,Married,207,D00-ENG,1,0.7244835,4,0,low,0.915047,0,2
102,139834,40,Male,Married,215,D00-FN,1,0.742464,5,0,medium,0.696834,0,2
103,146220,41,Female,Married,274,D00-AD,0,0.73758,4,0,low,0.772181,0,2
104,111267,23,Male,Unmarried,153,D00-IT,1,0.72014,4,0,medium,0.896238,0,2
105,115335,41,Male,Married,271,D00-FN,0,0.930623,6,0,medium,0.115811,1,4
106,108799,23,Male,Unmarried,225,D00-ENG,0,0.539891,3,0,low,0.479494,0,2
107,104254,27,Male,Unmarried,307,D00-ENG,0,0.857379,3,0,low,0.831078,1,5
108,119283,46,Male,Married,215,D00-PD,0,0.7244835,4,0,high,0.78342,0,3
109,103621,34,Male,Married,281,D00-ENG,0,0.768422,7,0,low,0.0524527,1,4
110,125014,22,Female,Unmarried,226,D00-MN,0,0.91252,5,0,medium,0.84515,1,5
111,100385,44,Male,Married,238,D00-PD,1,0.655888,4,0,medium,0.949997,0,10
112,112274,30,Male,Married,262,D00-SS,0,0.96521,5,0,low,0.911536,1,6
113,119983,24,Male,Unmarried,166,D00-SS,0,0.478692,3,0,low,0.274336,0,6
114,100777,26,Male,Unmarried,155,D00-SP,1,0.360585,2,0,medium,0.70344,0,5
115,112669,28,Male,Unmarried,244,D00-SS,1,0.844152,3,0,medium,0.907709,0,3
116,115694,26,Male,Unmarried,167,D00-PR,0,0.874656,3,0,medium,0.575996,0,4
117,117486,33,Male,Married,127,D00-SS,0,0.787544,6,0,low,0.537587,0,3
118,116281,23,Female,Unmarried,140,D00-SS,0,0.431742,2,0,medium,0.397724,1,3
119,134467,22,Male,Unmarried,144,D00-FN,0,0.539767,2,0,low,0.511552,0,3
120,108518,27,Male,Unmarried,129,D00-MT,0,0.422229,2,0,low,0.462792,1,3
121,122448,22,Female,Unmarried,140,D00-SP,0,0.457325,2,0,low,0.360823,1,3
122,147049,35,Female,Married,98,D00-SP,0,0.976213,5,0,medium,0.619492,0,2
123,119730,26,Male,Unmarried,249,D00-SP,0,0.859744,3,0,medium,0.781639,0,2
124,106113,28,Male,Unmarried,139,D00-MT,0,0.585046,2,0,low,0.432417,1,3
125,117143,29,Male,Unmarried,149,D00-SS,0,0.42012,2,0,medium,0.381976,1,3
126,120768,23,Female,Unmarried,129,D00-MT,0,0.585855,2,0,high,0.479842,1,3
127,125909,24,Female,Unmarried,264,D00-SP,0,0.89679,4,0,medium,0.815085,1,5
128,119296,27,Male,Unmarried,157,D00-SP,0,0.432132,2,0,low,0.493738,1,3
129,114489,41,Male,Married,247,D00-ENG,0,0.538281,5,0,high,0.581932,0,4
130,133284,29,Male,Unmarried,166,D00-SS,0,0.665425,3,0,low,0.615027,0,2
131,111921,23,Male,Unmarried,191,D00-ENG,0,0.903538,3,0,low,0.651357,0,4
132,107239,23,Male,Unmarried,151,D00-MT,0,0.510816,2,0,low,0.388506,1,3
133,110389,25,Male,Unmarried,198,D00-AD,0,0.7244835,3,0,low,0.636569,0,3
134,112817,44,Female,Married,257,D00-SS,0,0.664783,4,0,low,0.109201,1,3
135,102637,22,Male,Unmarried,130,D00-SP,0,0.459206,2,0,medium,0.415112,1,3
136,116178,24,Female,Unmarried,146,D00-ENG,0,0.912453,4,0,medium,0.700237,0,2
137,116026,25,Female,Unmarried,239,D00-PD,0,0.919374,4,0,low,0.829872,1,5
138,113338,29,Male,Unmarried,140,D00-SS,0,0.467978,2,0,low,0.461881,1,3
139,102824,24,Male,Unmarried,150,D00-SP,0,0.7244835,3,0,high,0.982052,0,3
140,119214,24,Female,Unmarried,260,D00-ENG,0,0.84327,3,0,low,0.620843,0,3
141,113360,27,Male,Unmarried,238,D00-IT,0,0.480189,2,0,low,0.951678,0,4
142,112791,48,Male,Married,262,D00-SP,0,0.662341,5,0,medium,0.167312,0,6
143,125463,25,Female,Unmarried,126,D00-ENG,0,0.463118,2,0,low,0.427446,1,3
144,104993,43,Male,Married,216,D00-SP,0,0.546653,4,0,low,0.817086,0,2
145,109560,33,Female,Married,196,D00-SP,0,0.638908,5,0,low,0.938323,0,3
146,114743,34,Male,Married,230,D00-SS,0,0.961628,4,0,high,0.574238,0,3
147,103049,53,Female,Married,202,D00-ENG,0,0.592455,4,0,low,0.747906,0,3
148,110587,43,Male,Married,258,D00-SP,0,0.957026,4,0,low,0.51132,0,3
149,118843,24,Female,Unmarried,243,D00-SS,1,1,3,0,medium,0.675261,0,3
150,111489,22,Male,Unmarried,229,D00-SS,1,0.938412,3,0,medium,0.835452,0,3
151,115199,35,Female,Married,164,D00-IT,0,0.908506,4,0,low,0.924063,0,4
152,114381,49,Male,Married,264,D00-ENG,0,0.7244835,5,0,low,0.885394,0,3
153,115952,23,Male,Unmarried,204,D00-SS,0,0.7244835,3,0,medium,1,0,2
154,136199,31,Male,Married,220,D00-SP,1,0.7244835,3,0,low,0.903321,0,3
155,100178,23,Male,Unmarried,153,D00-FN,0,0.448672,2,0,low,0.406216,1,3
156,111176,43,Male,Married,194,D00-SS,0,0.651072,5,0,medium,0.449576,0,3
157,105219,22,Female,Unmarried,143,D00-ENG,0,0.465362,2,0,high,0.338598,0,3
158,103836,25,Male,Unmarried,247,D00-SS,0,0.95227,3,0,medium,0.590293,0,3
159,112788,45,Male,Married,202,D00-SS,0,0.624511,4,0,medium,0.742425,0,3
160,100562,53,Male,Married,178,D00-SS,0,0.7244835,4,0,low,0.758775,0,3
161,111208,48,Male,Married,183,D00-FN,0,0.948047,5,0,high,0.187511,0,5
162,109686,42,Male,Married,185,D00-SS,0,0.7244835,5,0,medium,0.944566,0,2
163,112762,49,Male,Married,201,D00-ENG,1,0.889029,4,0,medium,0.600105,0,3
164,107021,22,Male,Unmarried,230,D00-MT,1,0.905048,3,0,high,0.979829,0,3
165,108850,48,Male,Married,277,D00-ENG,0,0.978016,6,0,low,0.145739,1,5
166,103102,45,Female,Married,191,D00-PD,0,0.7244835,4,0,medium,0.818641,0,2
167,118729,28,Female,Married,232,D00-MT,0,0.842387,5,0,low,1,0,3
168,111694,24,Female,Unmarried,228,D00-SP,0,0.970154,3,0,medium,0.708621,0,2
169,104093,43,Male,Married,161,D00-IT,0,0.556223,4,0,low,0.884242,0,3
170,113153,36,Male,Married,246,D00-SS,0,0.923536,6,0,medium,0.0778585,1,4
171,107692,25,Female,Unmarried,225,D00-IT,0,0.887343,3,0,high,0.587323,0,3
172,112165,25,Male,Unmarried,141,D00-ENG,0,0.495236,2,0,medium,0.379167,1,3
173,105468,25,Female,Unmarried,280,D00-SS,0,0.565752,3,0,medium,0.493396,0,2
174,103371,22,Female,Unmarried,161,D00-MN,0,0.634417,4,0,high,0.836785,0,2
175,100233,53,Male,Married,172,D00-SS,0,0.744644,5,0,high,0.233358,0,4
176,108881,45,Female,Married,173,D00-ENG,0,0.484482,5,0,medium,0.462348,0,5
177,107107,29,Male,Unmarried,211,D00-SS,0,0.7244835,3,0,medium,0.724874,0,3
178,112279,32,Male,Married,130,D00-SP,0,0.502868,6,0,medium,0.765469,0,2
179,118087,57,Male,Married,264,D00-MT,0,0.99358,4,0,low,0.893411,1,5
180,118443,22,Male,Unmarried,111,D00-MN,0,0.562904,2,0,high,0.563831,0,2
181,113046,22,Male,Unmarried,158,D00-IT,0,0.443358,2,0,low,0.348893,1,3
182,110408,57,Male,Married,251,D00-SS,0,0.952368,5,0,low,0.86728,1,6
183,106946,24,Female,Unmarried,247,D00-ENG,0,0.889754,3,0,high,0.751535,0,2
184,100470,23,Male,Unmarried,231,D00-SS,0,0.533486,3,0,low,0.518847,0,3
185,107982,36,Male,Married,244,D00-IT,0,0.680662,5,0,low,0.928567,0,2
186,103176,40,Male,Married,193,D00-ENG,0,0.824404,5,0,medium,0.880307,0,4
187,106971,24,Female,Unmarried,188,D00-ENG,0,0.876678,3,0,medium,0.889267,0,4
188,111321,23,Male,Unmarried,160,D00-SS,1,0.523097,2,1,low,0.497947,1,3
189,109590,22,Female,Unmarried,155,D00-FN,0,0.874397,3,0,medium,0.944692,0,2
190,106386,32,Male,Married,239,D00-MT,0,0.551249,4,0,low,0.964746,0,3
191,118809,42,Female,Married,262,D00-SP,0,0.566444,5,0,medium,0.572875,0,3
192,118195,23,Female,Unmarried,150,D00-ENG,0,0.473986,2,0,medium,0.372688,1,3
193,113028,28,Male,Unmarried,166,D00-ENG,0,0.749539,3,0,medium,0.773857,0,3
194,118027,29,Male,Unmarried,183,D00-SP,0,0.417588,4,0,medium,0.905704,0,5
195,103858,28,Male,Unmarried,166,D00-SS,0,0.702736,3,1,high,0.784444,0,3
196,105277,27,Male,Unmarried,195,D00-SP,0,0.923616,3,0,low,0.535514,0,10
197,139547,27,Male,Unmarried,150,D00-MT,0,0.876705,3,0,medium,0.9239,0,2
198,102763,47,Female,Married,184,D00-SP,0,1,4,0,low,0.983719,0,4
199,104196,25,Male,Unmarried,168,D00-PD,0,0.517706,4,0,medium,0.566822,0,3
200,109158,27,Female,Married,224,D00-SS,0,0.624088,6,0,medium,0.222526,0,3
201,114890,40,Male,Married,169,D00-ENG,0,0.588568,6,0,low,0.277802,0,4
202,116702,32,Female,Married,132,D00-SP,1,0.385922,4,0,medium,0.615468,0,5
203,126835,25,Female,Unmarried,129,D00-SS,0,0.508282,2,0,low,0.485223,1,3
204,114163,22,Male,Unmarried,156,D00-ENG,0,0.463227,2,0,medium,0.442458,1,3
205,100731,50,Male,Married,134,D00-MN,0,0.755396,5,0,high,0.629424,0,3
206,119995,44,Female,Married,133,D00-SP,0,0.890779,4,0,medium,0.28178,0,6
207,111433,27,Female,Married,251,D00-ENG,0,0.807688,6,0,low,0.0926197,1,4
208,101811,50,Male,Married,165,D00-AD,0,0.538664,4,0,low,0.658007,0,3
209,116804,51,Male,Married,176,D00-SS,1,0.946173,5,0,low,0.18275,0,4
210,119761,52,Male,Married,200,D00-SS,0,0.937844,5,0,medium,0.710721,0,3
211,103244,41,Male,Married,251,D00-ENG,0,0.904119,4,0,medium,0.867239,1,5
212,123989,22,Female,Unmarried,257,D00-SS,0,0.971011,5,0,low,0.829357,1,6
213,113383,24,Female,Unmarried,263,D00-IT,0,0.886998,5,0,low,0.13792,1,4
214,103869,22,Male,Unmarried,262,D00-FN,0,0.950989,4,0,medium,0.860237,1,6
215,113352,51,Male,Married,266,D00-IT,0,0.603819,5,0,low,0.165847,0,7
216,109993,44,Female,Married,265,D00-SP,0,0.562378,5,0,low,0.846249,0,3
217,106961,42,Male,Married,180,D00-PD,0,0.759716,4,0,high,0.574609,0,3
218,115882,29,Male,Unmarried,240,D00-IT,0,0.896967,5,0,medium,0.938703,1,5
219,106005,24,Female,Unmarried,171,D00-FN,0,0.492071,2,0,medium,0.369301,0,3
220,119784,22,Female,Unmarried,215,D00-MT,0,0.484262,3,0,low,0.920329,0,3
221,111869,25,Female,Unmarried,198,D00-ENG,1,0.7244835,4,0,low,0.614699,0,3
222,118398,55,Male,Married,250,D00-SS,0,0.962093,5,0,low,0.7995,1,5
223,107767,43,Male,Married,174,D00-PR,1,0.634783,5,0,medium,0.208138,0,5
224,110740,27,Male,Unmarried,143,D00-SS,0,0.661336,3,0,medium,0.679223,0,3
225,105807,24,Male,Unmarried,136,D00-SS,0,0.688041,4,0,medium,0.684866,0,2
226,116189,23,Male,Unmarried,208,D00-SP,0,0.765216,4,0,medium,1,0,2
227,108564,45,Male,Married,248,D00-SS,0,0.864981,5,0,low,0.832253,1,5
228,127703,25,Female,Unmarried,156,D00-SS,0,0.419956,2,0,low,0.38645,1,3
229,105679,29,Female,Married,264,D00-PD,0,0.498113,5,0,medium,0.9138,0,4
230,145444,32,Female,Married,231,D00-ENG,0,0.52869,4,0,low,0.584036,0,3
231,120087,22,Female,Unmarried,132,D00-ENG,0,0.475424,2,0,medium,0.323395,1,3
232,148842,42,Male,Married,232,D00-SS,0,0.436913,5,0,medium,0.664634,0,4
233,104782,42,Male,Married,227,D00-SS,0,0.917061,5,0,medium,0.394422,0,5
234,102486,24,Female,Unmarried,183,D00-ENG,0,0.999808,2,0,low,0.777812,0,2
235,136410,48,Male,Married,176,D00-SS,0,0.947957,5,0,medium,0.857633,0,3
236,125918,24,Female,Unmarried,220,D00-PD,0,0.983498,4,0,low,0.756659,1,5
237,101164,27,Male,Unmarried,211,D00-SS,0,0.527771,3,0,medium,0.938705,0,7
238,105584,42,Male,Married,287,D00-SS,0,0.809641,5,0,low,0.086102,1,4
239,111746,47,Male,Married,253,D00-SP,0,0.514769,6,0,medium,0.618344,0,4
240,112914,24,Male,Unmarried,151,D00-IT,0,0.579692,2,0,low,0.401741,1,3
241,105967,26,Female,Married,172,D00-SP,0,0.794587,5,0,medium,0.613614,0,4
242,114151,52,Male,Married,135,D00-FN,0,0.467866,2,0,medium,0.398806,1,3
243,104619,24,Female,Unmarried,257,D00-SP,1,0.581388,2,0,low,0.294889,0,6
244,108694,33,Male,Married,139,D00-ENG,1,0.711504,6,0,medium,0.988189,0,5
245,108364,28,Male,Unmarried,260,D00-SP,1,0.820581,3,0,medium,0.667677,0,4
246,106202,45,Male,Married,173,D00-PR,0,0.916356,5,0,low,0.921224,0,3
247,118588,24,Female,Unmarried,147,D00-ENG,0,0.522608,2,0,medium,0.362178,1,3
248,112349,46,Female,Married,222,D00-SS,0,0.653902,4,0,medium,0.66209,0,4
249,119555,27,Female,Married,243,D00-SS,0,0.717037,6,0,medium,0.905453,0,3
250,113161,28,Male,Unmarried,143,D00-ENG,0,0.481751,3,0,medium,0.550337,0,2
251,104509,26,Male,Unmarried,110,D00-ENG,0,0.903709,3,0,medium,0.237322,0,4
252,103421,26,Male,Unmarried,220,D00-SS,0,0.628206,3,1,low,0.918686,0,7
253,119249,38,Male,Married,251,D00-PD,0,0.985601,5,0,low,0.917654,0,4
254,109878,50,Male,Married,173,D00-ENG,0,0.437241,5,0,medium,0.428707,0,5
255,103611,26,Male,Unmarried,166,D00-MN,1,0.690199,3,0,low,0.610741,0,3
256,113560,30,Male,Married,228,D00-SS,0,0.641035,5,0,medium,0.935676,0,3
257,113915,25,Female,Unmarried,232,D00-SS,0,0.753922,3,0,low,0.666411,0,3
258,100499,53,Male,Married,163,D00-SS,0,0.897918,4,0,medium,0.562758,0,3
259,103824,42,Male,Married,173,D00-SS,0,0.467431,6,0,medium,0.33751,0,7
260,112930,36,Female,Married,213,D00-PR,0,0.53609,6,0,medium,0.20198,0,3
261,108458,46,Female,Married,142,D00-SS,0,0.625659,4,0,medium,0.573383,0,4
262,101294,27,Male,Unmarried,156,D00-SS,1,0.543483,3,0,medium,0.603757,0,3
263,109170,28,Male,Unmarried,227,D00-SS,0,0.7244835,4,0,low,0.441513,0,3
264,105198,41,Male,Married,227,D00-ENG,1,0.5772,4,0,low,0.657096,0,4
265,113407,30,Male,Married,172,D00-SS,1,0.86957,4,0,medium,0.817841,0,3
266,109963,48,Male,Married,300,D00-SP,1,0.853481,6,0,low,0.0681599,1,5
267,114250,26,Female,Married,168,D00-SS,1,0.730316,5,0,low,0.783487,0,4
268,103150,47,Female,Married,151,D00-PD,0,0.7244835,5,0,medium,0.995995,0,3
269,113689,30,Male,Married,197,D00-ENG,0,0.602153,5,0,low,0.236961,0,4
270,109668,26,Male,Unmarried,112,D00-MT,0,0.575934,2,0,medium,0.446114,0,3
271,117858,49,Female,Married,222,D00-SS,0,0.739968,4,0,low,0.583703,0,3
272,119664,23,Male,Unmarried,162,D00-SS,1,0.948158,3,0,low,0.706312,0,3
273,117477,32,Male,Married,237,D00-ENG,0,0.548864,5,0,low,0.871685,0,3
274,114579,27,Female,Married,217,D00-ENG,1,1,5,0,low,0.499649,0,2
275,111857,54,Male,Married,140,D00-AD,0,0.816348,4,0,low,0.620522,0,3
276,107560,26,Male,Unmarried,230,D00-SP,0,0.797843,3,0,medium,0.588246,0,3
277,117946,24,Female,Unmarried,145,D00-ENG,0,0.507109,2,0,low,0.353699,1,3
278,108665,22,Female,Unmarried,148,D00-IT,0,0.623268,3,0,medium,0.5403,0,3
279,101704,23,Male,Unmarried,168,D00-SS,0,0.58912,4,0,low,0.475902,0,2
280,115914,43,Female,Married,256,D00-SS,0,0.622816,4,0,low,0.723908,0,3
281,113748,29,Male,Unmarried,154,D00-SS,0,0.619728,3,0,medium,0.568666,0,2
282,110470,45,Male,Married,154,D00-SP,0,0.594949,5,0,low,0.911103,0,3
283,117213,31,Male,Married,198,D00-SS,0,0.478881,4,0,medium,0.953008,0,7
284,106813,48,Male,Married,132,D00-PD,0,1,4,0,medium,1,0,2
285,108462,28,Male,Unmarried,153,D00-SP,0,0.524526,2,0,low,0.34599,1,3
286,119746,24,Female,Unmarried,141,D00-SS,0,0.45918,2,0,low,0.438866,1,3
287,112891,29,Male,Unmarried,193,D00-IT,1,0.356863,3,0,low,0.290668,0,3
288,125520,45,Female,Married,262,D00-ENG,1,0.913076,6,0,low,0.103638,1,4
289,119921,24,Male,Unmarried,253,D00-AD,0,0.870794,3,0,low,0.523738,0,2
290,113411,30,Male,Married,210,D00-PD,0,0.927924,4,0,low,0.598533,0,3
291,107372,26,Male,Unmarried,170,D00-IT,0,0.727618,4,0,low,0.883729,0,2
292,115994,23,Female,Unmarried,150,D00-ENG,1,0.926249,3,0,medium,0.536526,0,2
293,121045,24,Female,Unmarried,145,D00-SP,0,0.552856,2,0,low,0.412152,1,3
294,102207,22,Male,Unmarried,163,D00-SP,0,0.7244835,3,0,low,0.584948,0,2
295,118115,46,Male,Married,260,D00-SS,0,0.765784,5,0,low,0.711329,0,3
296,104407,48,Male,Married,205,D00-ENG,0,0.866407,4,0,medium,0.763966,0,4
297,115004,29,Male,Unmarried,250,D00-SS,0,0.690363,3,0,medium,0.268557,0,5
298,114842,24,Male,Unmarried,180,D00-IT,0,0.463153,4,0,low,0.882368,0,2
299,118540,36,Male,Married,166,D00-SP,0,0.54357,5,0,medium,0.452499,0,2
300,114680,24,Male,Unmarried,145,D00-MT,0,0.514802,2,0,low,0.491658,1,3
301,104025,33,Male,Married,234,D00-SS,0,0.7244835,4,0,medium,0.802786,0,3
302,116434,42,Male,Married,248,D00-ENG,0,0.896041,5,0,medium,0.928786,1,5
303,118157,29,Male,Unmarried,207,D00-SS,1,0.918958,3,0,low,0.753975,0,4
304,109180,38,Male,Married,196,D00-ENG,0,0.977555,4,0,low,0.24849,0,5
305,119867,23,Female,Unmarried,257,D00-ENG,1,0.7244835,4,0,low,0.930248,0,3
306,117103,51,Male,Married,173,D00-PD,0,0.7008,4,0,medium,0.589414,0,3
